trip_id,stop_id
12451376-145-Blocks-Weekday-52,341544
12451376-145-Blocks-Weekday-52,341152
12451376-145-Blocks-Weekday-52,341135
12451376-145-Blocks-Weekday-52,341607
12451376-145-Blocks-Weekday-52,361065
12451376-145-Blocks-Weekday-52,361015
12451376-145-Blocks-Weekday-52,361074
12451376-145-Blocks-Weekday-52,361099
12451376-145-Blocks-Weekday-52,361619
12451376-145-Blocks-Weekday-52,341134
12451376-145-Blocks-Weekday-52,341153
12451376-145-Blocks-Weekday-52,341544
12451377-145-Blocks-Weekday-52,341544
12451377-145-Blocks-Weekday-52,341152
12451377-145-Blocks-Weekday-52,341135
12451377-145-Blocks-Weekday-52,341607
12451377-145-Blocks-Weekday-52,361065
12451377-145-Blocks-Weekday-52,361015
12451377-145-Blocks-Weekday-52,361074
12451377-145-Blocks-Weekday-52,361099
12451377-145-Blocks-Weekday-52,361619
12451377-145-Blocks-Weekday-52,341134
12451377-145-Blocks-Weekday-52,341153
12451377-145-Blocks-Weekday-52,341544
12451378-145-Blocks-Weekday-52,341544
12451378-145-Blocks-Weekday-52,341152
12451378-145-Blocks-Weekday-52,341135
12451378-145-Blocks-Weekday-52,341607
12451378-145-Blocks-Weekday-52,361065
12451378-145-Blocks-Weekday-52,361015
12451378-145-Blocks-Weekday-52,361074
12451378-145-Blocks-Weekday-52,361099
12451378-145-Blocks-Weekday-52,361619
12451378-145-Blocks-Weekday-52,341134
12451378-145-Blocks-Weekday-52,341153
12451378-145-Blocks-Weekday-52,341544
12451379-145-Blocks-Weekday-52,341544
12451379-145-Blocks-Weekday-52,341152
12451379-145-Blocks-Weekday-52,341135
12451379-145-Blocks-Weekday-52,341607
12451379-145-Blocks-Weekday-52,361065
12451379-145-Blocks-Weekday-52,361015
12451379-145-Blocks-Weekday-52,361074
12451379-145-Blocks-Weekday-52,361099
12451379-145-Blocks-Weekday-52,361619
12451379-145-Blocks-Weekday-52,341134
12451379-145-Blocks-Weekday-52,341153
12451379-145-Blocks-Weekday-52,341544
12451380-145-Blocks-Weekday-52,341544
12451380-145-Blocks-Weekday-52,341152
12451380-145-Blocks-Weekday-52,341135
12451380-145-Blocks-Weekday-52,341607
12451380-145-Blocks-Weekday-52,361065
12451380-145-Blocks-Weekday-52,361015
12451380-145-Blocks-Weekday-52,361074
